code,description,fileIndex,gstPercent,orderedQuantity,orderedUnitPrice,orderedTotalUnitPrice,orderedPrice,orderedTotalPrice,quantity,unitPrice,totalUnitPrice,price,totalPrice,brand,packSize,unitOfMeasure
23-GVXLLP,Gloves Low Powder VINYL XLge,68,10.0,5.0,4.5,4.95,22.5,24.75,5.0,4.5,4.95,22.5,24.75,,,
23-GVLLP,Gloves Low Powder VINYL Large,68,10.0,3.0,4.5,4.95,13.5,14.85,3.0,4.5,4.95,13.5,14.85,,,
20-PC225PL8,Plastic Cup 08oz/225ml - 50's,68,10.0,1.0,2.75,3.03,2.75,3.03,1.0,2.75,3.03,2.75,3.03,,,
08-PIZ15PB,"Pizza Box Brown 15"" Perfect Bite 50's",68,10.0,4.0,24.85,27.335,99.4,109.34,4.0,24.85,27.335,99.4,109.34,,,
02-SSS,Stainless Steel Scourer 50g,68,10.0,2.0,2.2,2.42,4.4,4.84,2.0,2.2,2.42,4.4,4.84,,,
02-GSS,Green Scourer Small,68,10.0,5.0,0.8,0.88,4.0,4.4,5.0,0.8,0.88,4.0,4.4,,,
24-SB500ml,Spray Bottle 500ml,69,10.0,2.0,2.05,2.255,4.1,4.51,2.0,2.05,2.255,4.1,4.51,,,
24-SNOZ,Spray Nozzle,69,10.0,4.0,1.5,1.65,6.0,6.6,4.0,1.5,1.65,6.0,6.6,,,
24-SB1L,Spray Bottle 1L,69,10.0,2.0,2.7,2.97,5.4,5.94,2.0,2.7,2.97,5.4,5.94,,,
23-GVLLP,Gloves Low Powder VINYL Large,69,10.0,2.0,4.5,4.95,9.0,9.9,2.0,4.5,4.95,9.0,9.9,,,
23-GVMLP,Gloves Low Powder VINYL Med,69,10.0,1.0,4.5,4.95,4.5,4.95,1.0,4.5,4.95,4.5,4.95,,,
19-RD132,Docket Book 132 Dup Carbonless 50pg. T/Away,69,10.0,6.0,1.2,1.32,7.2,7.92,6.0,1.2,1.32,7.2,7.92,,,
23-GVXLLP,Gloves Low Powder VINYL XLge,69,10.0,6.0,4.5,4.95,27.0,29.7,6.0,4.5,4.95,27.0,29.7,,,
08-PIZ15PB,"Pizza Box Brown 15"" Perfect Bite 50's",69,10.0,5.0,24.85,27.335,124.25,136.675,5.0,24.85,27.335,124.25,136.68,,,
,Pomace Olive Oil 4lt,70,0.0,1.0,18.6,18.6,18.6,18.6,1.0,18.6,18.6,18.6,18.6,ANTO,,
,Tomato Pulp BULK #38110kg,70,0.0,2.0,16.9,16.9,33.8,33.8,2.0,16.9,16.9,33.8,33.8,PRONF,,
,Fire Roast Pepper STRIP 4.2kg,70,0.0,3.0,13.9,13.9,41.7,41.7,3.0,13.9,13.9,41.7,41.7,NESTO,,
,BBQ Sauce 3lt,70,0.0,1.0,8.15,8.15,8.15,8.15,1.0,8.15,8.15,8.15,8.15,SUNSH,,
,Pineapple Pizza Cut Tidbit A10,70,0.0,12.0,5.25,5.25,63.0,63.0,12.0,5.25,5.25,63.0,63.0,GBELO,,
,"BROWN Pizza Box 100x12""",70,10.0,3.0,30.0,33.0,90.0,99.0,3.0,30.0,33.0,90.0,99.0,PERFE,,
,"Pizza InsertIO"" Cardboard100s",70,10.0,5.0,9.38,10.318,46.9,51.59,5.0,9.38,10.318,46.9,51.59,FIRST,,
,Mozzarella Traditional [6x2kg],70,0.0,7.0,97.0,97.0,679.0,679.0,7.0,97.0,97.0,679.0,679.0,ALESS,,
,Cream Thickened Caterers 5lt,70,0.0,4.0,16.9,16.9,67.6,67.6,4.0,16.9,16.9,67.6,67.6,D/FAR,,
,Semi Dried Tomato 5kg,70,0.0,1.0,43.75,43.75,43.75,43.75,1.0,43.75,43.75,43.75,43.75,GLOBL,,
,"Gnocchi ""Grooves"" Potato 1kg",70,0.0,4.0,6.95,6.95,27.8,27.8,4.0,6.95,6.95,27.8,27.8,ZINI,,
,Prawn Meat 31/40 GARLIC 1kg,70,0.0,4.0,19.7525,19.7525,79.01,79.01,4.0,19.7525,19.7525,79.01,79.01,NEPTU,,
,"Tomatoes Crushed ""BULK10kgSUB",71,0.0,2.0,18.45,18.45,36.9,36.9,2.0,18.45,18.45,36.9,36.9,FIAMA,,
,Mushroom Forest Mix 500g,71,0.0,1.0,41.2,41.2,41.2,41.2,1.0,41.2,41.2,41.2,41.2,WILDM,,
,Vinegar Balsamic 5lt,71,0.0,1.0,17.54,17.54,17.54,17.54,1.0,17.54,17.54,17.54,17.54,TOSCH,,
,Yeast Dry ANGEST 500g,71,0.0,4.0,3.33,3.33,13.32,13.32,4.0,3.33,3.33,13.32,13.32,ANGES,,
,Pineapple Pizza Cut Tidbit A10,71,0.0,6.0,5.25,5.25,31.5,31.5,6.0,5.25,5.25,31.5,31.5,GBELO,,
,BROWN Pizza Box 100x12”,71,10.0,2.0,30.0,33.0,60.0,66.0,2.0,30.0,33.0,60.0,66.0,PERFE,,
,"Pizza InsertIO"" Cardboard100s",71,10.0,4.0,9.3795,10.3175,37.5182,41.27,4.0,9.3795,10.3175,37.5182,41.27,FIRST,,
,Mozzarella Traditional [6x2kg],71,0.0,5.0,97.0,97.0,485.0,485.0,5.0,97.0,97.0,485.0,485.0,ALESS,,
,Cream Sour Lite 2lt,71,0.0,1.0,12.16,12.16,12.16,12.16,1.0,12.16,12.16,12.16,12.16,D/FAR,,
,Cream Thickened Caterers 5lt,71,0.0,3.0,16.9,16.9,50.7,50.7,3.0,16.9,16.9,50.7,50.7,D/FAR,,
,Semi Dried Tomato 5kg,71,0.0,1.0,43.75,43.75,43.75,43.75,1.0,43.75,43.75,43.75,43.75,GLOBL,,
,"Gnocchi ""Grooves"" Potato 1kg",71,0.0,2.0,6.95,6.95,13.9,13.9,2.0,6.95,6.95,13.9,13.9,ZINI,,
,Fire Roast Pepper STRIP 4.2kg,72,0.0,1.0,13.9,13.9,13.9,13.9,1.0,13.9,13.9,13.9,13.9,NESTO,,
,Mozzarella Traditional [6x2kg],72,0.0,4.0,97.0,97.0,388.0,388.0,4.0,97.0,97.0,388.0,388.0,ALESS,,
,Cream Thickened Caterers 5lt,72,0.0,1.0,16.9,16.9,16.9,16.9,1.0,16.9,16.9,16.9,16.9,D/FAR,,
,Prawn Meat 31/40 GARLIC 1kg,72,0.0,4.0,19.7525,19.7525,79.01,79.01,4.0,19.7525,19.7525,79.01,79.01,NEPTU,,
,Pomace Olive Oil 4lt,73,0.0,1.0,18.6,18.6,18.6,18.6,1.0,18.6,18.6,18.6,18.6,ANTO,,
