code,description,fileIndex,gstPercent,orderedQuantity,orderedUnitPrice,orderedTotalUnitPrice,orderedPrice,orderedTotalPrice,quantity,unitPrice,totalUnitPrice,price,totalPrice,brand,packSize,unitOfMeasure
121223,Straws Plastic Jumbo Black 20cm,39,10.0,2.5,20.4,22.44,51.0,56.1,2.5,20.4,22.44,51.0,56.1,,,
152297,Puree Minced Meat Corn Cobs,39,0.0,4.0,14.67,14.67,58.68,58.68,4,14.67,14.67,58.68,58.68,,,
79892,Spoons Soup Chinese Disposal (10 X 100's),39,10.0,2.5,31.47,34.617,78.675,86.5425,2.5,31.47,34.617,78.675,86.5425,,,
58273,Sauce Teriyaki,39,0.0,3.0,24.89,24.89,74.67,74.67,3,24.89,24.89,74.67,74.67,,,
142733,Chocolate Bits Gold (muffin Break),40,0.0,1.5,160.5,160.5,240.75,240.75,0.5,160.5,160.5,80.25,80.25,,,
148355,Yoghurt Preserved Lemon Squeezy Gluten Free,40,0.0,2.0,10.43,10.43,20.86,20.86,2,10.43,10.43,20.86,20.86,,,
138433,Croutons,40,0.0,3.0,4.67,4.67,14.01,14.01,3,6.13839050461,6.13839050461,18.4151715138,18.4151715138,,,
147402,Clams Burger Brown ,40,10.0,1.0,73.36,80.696,73.36,80.696,1,73.36,80.696,73.36,80.696,,,
158960,Drink Lemonade Organic,40,10.0,2.0,27.01,29.711,54.02,59.422,1,27.01,29.711,27.01,29.711,,,
124997,Soup Chicken & Corn Gluten Free,40,0.0,0.6,34.84,34.84,20.904,20.904,0.6,59.6805207377,59.6805207377,35.8083124426,35.8083124426,,,
12636,Caperberries Stem On,40,0.0,0.3,22.05,22.05,6.615,6.615,0.3,22.05,22.05,6.615,6.615,,,
140860,Gravy Chicken,40,0.0,15.0,125.42,125.42,1881.3,1881.3,15,125.42,125.42,1881.3,1881.3,,,
14804,Snak Pack Vanilla Custard Four Pack,40,0.0,1.0,23.01,23.01,23.01,23.01,1,26.0669839477,26.0669839477,26.0669839477,26.0669839477,,,
81438,Syrup Coffee Vanilla Flavoured,40,10.0,3.0,13.44,14.784,40.32,44.352,3,18.0020040607,19.8022044668,54.0060121822,59.4066134004,,,
130115,Vegetables Mixed Peas Corn & Carrots,40,0.0,1.0,7.36,7.36,7.36,7.36,1,13.9675371493,13.9675371493,13.9675371493,13.9675371493,,,
117631,Sauce Smokey Bourbon Marinade,40,0.0,1.0,21.53,21.53,21.53,21.53,1,43.0147571841,43.0147571841,43.0147571841,43.0147571841,,,
153819,Chicken Breast Flts Devil 100gr,40,0.0,0.3,16.59,16.59,4.977,4.977,0.3,16.59,16.59,4.977,4.977,,,
150891,Family Pack Box Beta Board,40,10.0,1.5,70.56,77.616,105.84,116.424,1.5,70.56,77.616,105.84,116.424,,,
89971,Sausages Bratwurst German (app 2kg),40,0.0,2.0,17.14,17.14,34.28,34.28,1,17.14,17.14,17.14,17.14,,,
104458,Jelly Diet Lime,40,0.0,2.0,21.24,21.24,42.48,42.48,2,32.2859088339,32.2859088339,64.5718176679,64.5718176679,,,
157562,Sauce Dessert Strawberry Gluten Free,41,0.0,0.3,9.95,9.95,2.985,2.985,0.3,10.6975370433,10.6975370433,3.209261113,3.209261113,,,
138539,Dolmades Vine Leaves Stuffed,41,0.0,2.0,12.77,12.77,25.54,25.54,1,17.5930071433,17.5930071433,17.5930071433,17.5930071433,,,
161238,Tea Bags Env Yellow Label Gold,41,0.0,1.0,38.04,38.04,38.04,38.04,1,42.5914794847,42.5914794847,42.5914794847,42.5914794847,,,
151503,Tea Iced Raspberry,41,10.0,0.4,16.73,18.403,6.692,7.3612,0.4,33.3138600564,36.645246062,13.3255440226,14.6580984248,,,
78873,Sugar P/c Sticks White Flat,41,0.0,1.2,21.63,21.63,25.956,25.956,1.2,25.1275523852,25.1275523852,30.1530628622,30.1530628622,,,
156208,Pie Cottage,42,10.0,16.0,189.55,208.505,3032.8,3336.08,15,189.55,208.505,2843.25,3127.575,,,
74888,Tetra Juice Orange 100% Popper,42,0.0,1.0,3.24,3.24,3.24,3.24,1,3.24,3.24,3.24,3.24,,,
48707,Sauce Soy Mushroom,42,0.0,2.0,3.63,3.63,7.26,7.26,1,3.63,3.63,3.63,3.63,,,
1292,Biscuit Crumb Base Mix,42,10.0,1.7,61.41,67.551,104.397,114.8367,1.7,61.41,67.551,104.397,114.8367,,,
140797,Breadcrumbs Gluten Free,42,0.0,1.0,55.92,55.92,55.92,55.92,1,55.92,55.92,55.92,55.92,,,
26787,Cake P/c Apple Crunch Tray,42,10.0,5.0,44.7,49.17,223.5,245.85,5,44.7,49.17,223.5,245.85,,,
136245,Brussel Sprouts Iqf,42,0.0,2.0,9.73,9.73,19.46,19.46,2,9.73,9.73,19.46,19.46,,,
128905,Deodorant Tablets Urinal,42,10.0,1.0,59.42,65.362,59.42,65.362,1,59.42,65.362,59.42,65.362,,,
140199,Bread Sliced Super Thick White ,42,0.0,1.0,21.86,21.86,21.86,21.86,1,21.86,21.86,21.86,21.86,,,
76793,Sausage Rolls,43,10.0,2.0,68.4,75.24,136.8,150.48,2,68.4,75.24,136.8,150.48,,,
10411,Container Clear Round 200ml Fc200,43,10.0,1.0,7.23,7.953,7.23,7.953,1,10.8601872191,11.946205941,10.8601872191,11.946205941,,,
