Wholesaler,Code,Item Description,Brand,Pack Size,Unit of Measure,Unit Price,GST Value,Total Value,,,,,,,,,
,110257,Sushi Hand Rolled Tuna,Nichirei,18 Pcs,Bag,6.2,,6.2,,,,,,,,,
,135150,Jelly Raspberry Cups,Riviana,21x 13 Gm,Ctn,25.59,,25.59,,,,,,,,,
,135151,Jelly Strawberry Cups,Riviana,21x13 Gm,Ctn,25.59,,25.59,,,,,,,,,
,42848,Champignons Stems & Pieces,Riviana,A10,Can,8.45,,8.45,,,,,,,,,
,90288,Oil Sunflower,Moi,20 Lt,Drum,38.9,,38.9,,,,,,,,,
,27492,Hospital Formula,Sustagen,900 Gm,Can,19.96,,19.96,,,,,,,,,
,126459,Chips Grainwaves Sour Cream & Chives,Smiths,21x28 Gm,Ctn,13.10,1.31,14.41,,,,,,,,,
,13632,Maltesers Pick & Mix,Mars,40x12 Gm,Ctn,16.80,1.68,18.48,,,,,,,,,
,43006,Party Mix Lollies,Fresha,10 Kg,Ctn,49.60,4.96,54.56,,,,,,,,,
,86145,Potato Chips Original Crinkle Cut,Smiths,21x27 Gm,Ctn,13.10,1.31,14.41,,,,,,,,,
,132456,Pies Party Variety Pack,I & J,72x36 Gm,Ctn,65.32,,65.32,,,,,,,,,
North Coast,TORFL06,"6"" Flour Tortillas",Rositas,24x12's,Ctn,43.15,,43.15,,,,,,,,,
,LIN312,Chocolate Couveture Piccoli White Blancor,Lindt,2.5 Kg,Bag,29.61,,59.22,,,,,,,,,
,CT6563,Self Raising Flour,Caterers Choice,10 Kg,Bag,15.16,,15.16,,,,,,,,,
,CT6563,Cocoa Powder,Caterers Choice,1 Kg,Pkt,14.14,,14.14,,,,,,,,,
,CT3266,Cucumber Dill (Gherkins),Marco Polo,2.35 Kg,Jar,8.80,,8.80,,,,,,,,,
,SX5451,Salt Table,Saxa,10 Kg,Bag,7.19,,7.19,,,,,,,,,
,UN5631,Sponge Fingers,Unibic,250 Gm,Pkt,3.90,0.39,4.29,,,,,,,,,
,CT5671,Sauce Tomato Gluten Free,Caterers Choice,4 Lt,Btl,8.95,,8.95,,,,,,,,,
,CT00012,Brown Sugar,Caterers Choice,3 Kg,Pkt,8.57,,8.57,,,,,,,,,
,BUN431,White Sugar,Bundaberg,2 Kg,Pkt,3.56,,3.56,,,,,,,,,
,CT44221,Walnut Pieces USA,Caterers Choice,1 Kg,Pkt,20.83,,20.83,,,,,,,,,
,LW42671, 9mm Stealth Chips Skin On,Lamb & Weston,6 x 2.26,Ctn,35.00,,35.00,,,,,,,,,
Royal,20872,Mignon Lamb Rosemary,,50x30 Gm,Tray,72.31,,72.31,,,,,,,,,
,20871,Mignon Lamb Rosemary & Herbs,,50x30 Gm,Tray,72.31,,72.31,,,,,,,,,
,18312,Mignon Lamb Rosemary,Tippys,50x30 Gm,Tray,72.31,,72.31,,,,,,,,,
,40250,Pommes Anna,One Chef,40x60 Gm,Tray,58.80,,58.80,,,,,,,,,
,40120,Money Bag Scallop,,128x23 Gm,Ctn,114.24,,114.24,,,,,,,,,
Tetrie,3766,Whole Milk ,Dairy Farmers,2 Lt,Btl,3.32,,3.32,,,,,,,,,
,3756,Whole Milk ,Dairy Farmers,3 Lt,Btl,3.98,,3.98,,,,,,,,,
,1441,Whole Milk ,Pauls,2 Lt,Btl,3.65,,3.65,,,,,,,,,
,1440,Skim Milk,Pauls,3 Lt,Btl,5.21,,5.21,,,,,,,,,
,1339,Skim Milk,Pauls,2 Lt,Btl,4.66,,4.66,,,,,,,,,
,87665,Roast Beef Whole,Cragieburn,,Kg,16.31,,16.31,,,,,,,,,
,54121,"6"" Flour Tortillas",Rositas,24x12's,Ctn,43.15,,43.15,,,,,,,,,
,3757,Lite White,Dairy Farmers,3 Lt,Btl,4.11,,4.11,,,,,,,,,
,4257,Sour Light Cream,Devondale,2 Lt,Tub,4.19,,4.19,,,,,,,,,
,8916,Silverside Sliced,Gottzinger,1 Kg,Pkt,13.14,,13.14,,,,,,,,,
,8992,Roast Beef Sliced,Gottzinger,1 Kg,Pkt,16.11,,16.11,,,,,,,,,
Fruit,VGTCH,Tomato Cherry Gourmet,,,Punnet,1.95,,1.95,,,,,,,,,
,STSPS125,Snow Pea Sprouts,,100 Gm,Punnet,2.25,,2.25,,,,,,,,,
,FTLEM,Lemons,,,Kg,2.65,,2.65,,,,,,,,,
,HRPAR,Parsley,,,Bunch,2.45,,2.45,,,,,,,,,
,VGSHA,Shallots,,,Kg,1.60,,1.60,,,,,,,,,
,VGCARL,Carrots Large,,,Kg,1.40,,1.40,,,,,,,,,
,DUBFD,Beans Sliced,,,Kg,1.66,,1.66,,,,,,,,,
,GRSSJJ,Egg Plant Large,,,Ea,0.85,,0.85,,,,,,,,,
,DSQOOU,Cucumber ,,,Ea,1.75,,1.75,,,,,,,,,
,HPORD,Onions White,,,Kg,5.21,,5.21,,,,,,,,,
,HPPUI,Pumpkin Japanese Halves,,,Kg,2.99,,2.99,,,,,,,,,
,DSSGDD,Spanish Lettuce,,,Ea,4.70,,4.70,,,,,,,,,
,STSPS124,Limes,,100 Gm,Punnet,2.25,,2.25,,,,,,,,,
,HPPOWS,Potato Washed Small,,,Kg,1.50,,1.50,,,,,,,,,
,HPPUJ,Pumpkin Japanese,,,Kg,1.30,,1.30,,,,,,,,,
,SOCOH,Cos Heads,,,Ea,2.35,,2.35,,,,,,,,,
,SOMEG,Mesculin Gourmet,,,Kg,11.50,,11.50,,,,,,,,,
,VGCCUC,Cucumber Continental,,,Ea,1.75,,1.75,,,,,,,,,
,VGCAU,Cauliflower,,,Ea,2.80,,2.80,,,,,,,,,
,VGBRO,Broccoli,,,Kg,3.32,,3.32,,,,,,,,,
,HPORE,Onions Red,,,Kg,1.80,,1.80,,,,,,,,,
,VGCAPR,Capsicum Red,,,Kg,3.75,,3.75,,,,,,,,,
